detector_position(mm),voltage(mV)
1,42
1.05,45
1.1,49
1.15,56
1.2,62
1.25,66
1.3,67
1.35,65
1.4,60
1.45,54
1.5,48
1.55,41
1.6,37
1.65,38
1.7,44
1.75,53
1.8,67
1.85,81
1.9,96
1.95,108
2,117
2.05,123
2.1,127
2.15,130
2.2,138
2.25,149
2.3,173
2.35,210
2.4,258
2.45,314
2.5,380
2.55,447
2.6,502
2.65,545
2.7,560
2.75,551
2.8,514
2.85,445
2.9,364
2.95,286
3,216
3.05,170
3.1,173
3.15,231
3.2,349
3.25,528
3.3,752
3.35,1013
3.4,1280
3.45,1516
3.5,1707
3.55,1835
3.6,1854
3.65,1768
3.7,1586
3.75,1336
3.8,1023
3.85,706
3.9,437
3.95,241
4,148
4.05,208
4.1,403
4.15,729
4.2,1221
4.25,1760
4.3,2298
4.35,2798
4.4,3167
4.45,3418
4.5,3479
4.55,3345
4.6,3020
4.65,2592
4.7,1991
4.75,1405
4.8,862
4.85,456
4.9,183
4.95,127
5,286
5.05,689
5.1,1221
5.15,1896
5.2,2563
5.25,3245
5.3,3731
5.35,4129
5.4,4264
5.45,4153
5.5,3830
5.55,3297
5.6,2656
5.65,1966
5.7,1273
5.75,738
5.8,336
5.85,144
5.9,164
5.95,396
6,867
6.05,1406
6.1,2008
6.15,2536
6.2,3063
6.25,3383
6.3,3554
6.35,3529
6.4,3311
6.45,2931
6.5,2453
6.55,1890
6.6,1347
6.65,835
6.7,480
6.75,239
6.8,155
6.85,209
6.9,395
6.95,684
7,966
7.05,1334
7.1,1580
7.15,1789
7.2,1899
7.25,1900
7.3,1805
7.35,1601
7.4,1350
7.45,1083
7.5,815
7.55,561
7.6,371
7.65,228
7.7,149
7.75,136
7.8,171
7.85,238
7.9,323
7.95,406
8,471
8.05,515
8.1,527
8.15,510
8.2,471
8.25,416
8.3,326
8.35,226
8.4,151
8.45,127
8.5,137
8.55,171
8.6,213
8.65,271
8.7,338
8.75,398
8.8,458
8.85,513
8.9,563
8.95,598
9,629
9.05,
9.1,
